代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
600406,国电南瑞,26.15,26.35,25.86,26.07,26.23,-0.61,1678306993.0
600460,士兰微,28.9,29.31,28.3,28.44,28.93,-1.69,1430294727.0
600482,中国动力,39.51,40.1,39.0,39.4,39.51,-0.28,1399191236.0
600487,亨通光电,70.0,71.6,67.68,68.29,71.38,-4.33,12142025886.0
600489,中金黄金,25.58,25.79,25.09,25.27,25.73,-1.79,1070002729.0
600498,烽火通信,51.15,53.96,49.01,52.3,51.6,1.36,6297953239.0
600519,贵州茅台,1402.0,1409.39,1400.11,1405.0,1403.2,0.13,4772513712.0
600522,中天科技,35.78,36.46,34.0,35.0,35.78,-2.18,9259501435.0
600547,山东黄金,35.34,35.49,34.7,34.79,35.64,-2.38,1283850626.0
600549,厦门钨业,57.0,57.46,54.49,54.97,56.79,-3.2,3743721496.0
600584,长电科技,46.1,46.49,44.76,45.1,46.32,-2.63,3648812811.0
600585,海螺水泥,21.19,21.26,20.94,21.2,21.18,0.09,664495890.0
600600,青岛啤酒,62.42,63.3,62.15,63.15,61.9,2.02,555784470.0
600660,福耀玻璃,59.46,59.83,59.1,59.42,59.45,-0.05,552183011.0
600667,太极实业,9.84,9.85,9.44,9.51,9.88,-3.74,995244785.0
600673,东阳光,32.11,34.3,32.1,33.22,32.48,2.28,2555388171.0
600674,川投能源,15.07,15.38,15.05,15.36,15.06,1.99,699939869.0
600690,海尔智家,20.41,21.36,20.34,21.34,20.52,4.0,2647450254.0
600703,三安光电,14.52,14.68,13.92,13.99,14.73,-5.02,3368203939.0
600730,*ST高科,8.05,8.4,7.89,8.13,8.21,-0.97,348148621.0
600760,中航沈飞,48.23,48.55,47.81,48.05,48.56,-1.05,656480645.0
600795,国电电力,4.87,4.94,4.83,4.92,4.89,0.61,870648935.0
600809,山西汾酒,138.31,139.31,137.3,138.72,138.31,0.3,663818102.0
600875,东方电气,39.98,40.75,39.36,39.54,40.35,-2.01,2214720720.0
600886,国投电力,13.36,13.62,13.35,13.6,13.4,1.49,432615862.0
600887,伊利股份,25.21,25.79,25.18,25.49,25.25,0.95,2081892317.0
600893,航发动力,47.7,48.21,45.13,45.6,48.33,-5.65,2335403484.0
600900,长江电力,26.68,26.78,26.61,26.73,26.66,0.26,1869479612.0
600905,三峡能源,4.1,4.11,4.08,4.1,4.1,0.0,515514819.0
600919,江苏银行,11.23,11.39,11.19,11.36,11.24,1.07,809641125.0
600926,杭州银行,17.07,17.45,17.01,17.43,17.03,2.35,551820886.0
600930,华电新能,6.3,6.41,6.17,6.37,6.31,0.95,1359086893.0
600938,中国海油,38.83,39.9,38.77,39.77,38.82,2.45,2047234700.0
600941,中国移动,95.31,96.14,95.1,96.03,95.5,0.55,710812120.0
600989,宝丰能源,29.79,31.3,29.57,30.96,30.08,2.93,3869295540.0
600999,招商证券,15.42,15.77,15.42,15.64,15.38,1.69,1061810440.0
601006,大秦铁路,5.27,5.39,5.26,5.39,5.26,2.47,1067067858.0
601009,南京银行,11.63,11.71,11.59,11.68,11.65,0.26,393840351.0
601012,隆基绿能,17.03,17.21,16.89,16.95,17.14,-1.11,1664112757.0
601066,中信建投,21.48,22.04,21.45,21.8,21.43,1.73,320878161.0
601077,渝农商行,7.43,7.47,7.32,7.38,7.43,-0.67,271500231.0
601088,中国神华,46.76,48.3,46.57,48.15,46.78,2.93,1951324557.0
601100,恒立液压,96.0,104.81,95.5,104.52,96.94,7.82,2326668649.0
601111,中国国航,6.66,6.7,6.62,6.66,6.7,-0.6,349694117.0
601127,赛力斯,90.06,90.2,88.9,88.95,90.68,-1.91,1602199568.0
601138,工业富联,67.25,68.99,66.92,68.2,67.25,1.41,16104810976.0
601166,兴业银行,18.18,18.21,18.04,18.14,18.17,-0.17,1566028965.0
601169,北京银行,5.34,5.35,5.26,5.3,5.5,-3.64,2321016887.0
601186,中国铁建,6.74,6.78,6.73,6.76,6.74,0.3,304995906.0
601211,国泰海通,16.15,16.42,16.06,16.12,16.23,-0.68,2460913018.0
601225,陕西煤业,25.1,26.15,25.1,26.01,25.38,2.48,1412497271.0
601229,上海银行,9.65,9.67,9.51,9.58,9.64,-0.62,478975205.0
601288,农业银行,6.9,6.99,6.87,6.98,6.92,0.87,1809204828.0
601318,中国平安,57.47,58.11,57.2,57.63,57.55,0.14,3597829250.0
601319,中国人保,7.15,7.21,7.06,7.1,7.15,-0.7,392223026.0
601328,交通银行,6.91,6.98,6.9,6.98,6.92,0.87,820251398.0
601336,新华保险,62.05,63.32,61.74,62.31,62.18,0.21,933889605.0
601390,中国中铁,5.15,5.18,5.13,5.18,5.15,0.58,437450421.0
601398,工商银行,7.49,7.54,7.47,7.53,7.51,0.27,1260582538.0
601600,中国铝业,11.85,11.89,11.6,11.66,11.98,-2.67,2430211502.0
601601,中国太保,36.28,36.72,36.01,36.34,36.36,-0.06,1013686607.0
601628,中国人寿,36.67,37.06,36.37,36.63,36.67,-0.11,570671361.0
601633,长城汽车,20.15,20.2,19.95,20.01,20.22,-1.04,236169722.0
601658,邮储银行,5.14,5.2,5.13,5.2,5.15,0.97,574081279.0
601668,中国建筑,4.81,4.84,4.81,4.83,4.81,0.42,643516774.0
601669,中国电建,5.66,5.68,5.58,5.62,5.68,-1.06,1087563493.0
601688,华泰证券,18.85,19.59,18.85,19.27,18.76,2.72,3065816808.0
601689,拓普集团,58.33,58.5,56.51,56.67,58.81,-3.64,1463718346.0
601698,中国卫通,36.58,36.58,35.04,35.11,36.84,-4.7,1925944096.0
601727,上海电气,8.03,8.03,7.88,7.89,8.04,-1.87,722393341.0
601728,中国电信,5.98,6.01,5.94,5.98,5.99,-0.17,526073852.0
601766,中国中车,5.87,5.92,5.86,5.91,5.87,0.68,868817484.0
601800,中国交建,7.05,7.12,6.96,7.06,7.05,0.14,257767357.0
601816,京沪高铁,4.87,4.92,4.87,4.91,4.88,0.61,505663745.0
601818,光大银行,3.16,3.17,3.14,3.15,3.16,-0.32,563638382.0
601825,沪农商行,8.95,9.09,8.91,9.05,8.98,0.78,185640314.0
601838,成都银行,18.47,18.8,18.42,18.74,18.44,1.63,488645527.0
601857,中国石油,11.92,12.19,11.87,12.18,11.96,1.84,2192518107.0
601868,中国能建,2.82,2.83,2.78,2.78,2.84,-2.11,1429910094.0
601869,长飞光纤,370.51,381.16,368.0,373.49,377.5,-1.06,4196142921.0
