date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,文字媒体,-8.07,-112451062.0,-6.75
2026-07-19,光伏辅材,-4.0,-112586535.0,-2.75
2026-07-19,高速公路,0.04,-113279238.0,-5.83
2026-07-19,电视广播Ⅲ,-3.69,-113784954.0,-5.8
2026-07-19,电视广播Ⅱ,-3.69,-113784954.0,-5.8
2026-07-19,装修装饰Ⅱ,-6.6,-115080311.0,-5.28
2026-07-19,装修装饰Ⅲ,-6.6,-115080311.0,-5.28
2026-07-19,蓄电池及其他电池,-5.14,-115439910.0,-5.33
2026-07-19,金融控股,-1.24,-116993844.0,-5.3
2026-07-19,管材,-3.7,-118037175.0,-15.52
2026-07-19,轮胎轮毂,-3.02,-118928500.0,-3.89
2026-07-19,电工仪器仪表,-2.55,-119506465.0,-4.53
2026-07-19,化学纤维,-3.29,-120300367.0,-2.81
2026-07-19,硅料硅片,-1.72,-120633632.0,-4.44
2026-07-19,综合环境治理,-5.14,-121231538.0,-6.52
2026-07-19,商用车,-2.76,-121803552.0,-2.95
2026-07-19,光伏主材,-1.58,-122405234.0,-6.79
2026-07-19,化妆品,-5.11,-122510346.0,-4.31
2026-07-19,纸包装,-4.68,-124507918.0,-4.9
2026-07-19,种植业,-2.83,-124687768.0,-4.24
2026-07-19,小家电,-3.05,-126478645.0,-4.58
2026-07-19,农产品加工,-2.96,-127809751.0,-5.62
2026-07-19,诊断服务,-7.56,-131694308.0,-6.23
2026-07-19,地面兵装Ⅱ,-4.06,-136772125.0,-5.34
2026-07-19,地面兵装Ⅲ,-4.06,-136772125.0,-5.34
2026-07-19,血液制品,-3.87,-142757582.0,-10.97
2026-07-19,固废治理,-3.85,-144288100.0,-2.57
2026-07-19,综合乘用车,-2.21,-146446105.0,-7.34
2026-07-19,教育,-4.12,-148572253.0,-8.47
2026-07-19,运动服装,-8.8,-154486248.0,-8.71
2026-07-19,铁路运输,-1.47,-155269040.0,-4.97
2026-07-19,板材,-1.02,-158287056.0,-3.62
2026-07-19,水力发电,3.28,-159977360.0,-1.27
2026-07-19,氟化工,-0.15,-160037200.0,-1.3
2026-07-19,摩托车及其他,-2.79,-161967558.0,-5.4
2026-07-19,焦煤,-2.32,-162080891.0,-6.61
2026-07-19,航空机场,-0.88,-162370288.0,-4.2
2026-07-19,农药,-2.84,-163143174.0,-4.54
2026-07-19,产业地产,-2.21,-165750910.0,-11.97
2026-07-19,非运动服装,-3.66,-165987093.0,-5.0
2026-07-19,其他通信设备,-4.17,-167187739.0,-8.09
2026-07-19,乳品,-1.78,-168005434.0,-4.12
