序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2326,001257,盛龙股份,25.67,1.42,0.36,220451.0,562915254.2,3.52,25.85,24.96,25.38,25.31,1.52,16.1,30.6,6.4,47128857472.0,3515454852.0,0.04,0.08,-1.31,234.68
2327,002295,精艺股份,8.57,1.42,0.12,30667.0,26142600.36,2.13,8.6,8.42,8.51,8.45,1.02,1.22,74.53,1.65,2147779120.0,2146159390.0,0.23,0.35,-26.94,-35.66
2328,600638,新黄浦,4.99,1.42,0.07,96176.0,47554340.0,2.44,5.0,4.88,4.94,4.92,0.64,1.43,6.07,0.72,3360249962.0,3360249962.0,0.0,-0.2,-22.87,-22.52
2329,600777,新潮能源,4.29,1.42,0.06,285459.0,121033678.0,3.31,4.3,4.16,4.21,4.23,1.09,0.45,51.09,1.32,29174127089.0,27310793757.0,0.0,0.23,-28.5,11.72
2330,600985,淮北矿业,15.0,1.42,0.21,196683.0,291998130.0,2.77,15.02,14.61,14.66,14.79,0.84,0.73,20.57,0.98,40398880635.0,40398880635.0,0.07,0.07,12.87,38.12
2331,920608,丰安股份,13.57,1.42,0.19,2765.0,3726548.14,1.79,13.58,13.34,13.52,13.38,0.86,0.57,19.86,1.79,844596800.0,654330310.0,0.44,-0.07,-16.75,-26.29
2332,300539,横河精密,19.35,1.42,0.27,83978.0,161820483.28,3.14,19.41,18.81,18.89,19.08,0.96,3.85,129.76,4.54,5187747810.0,4216137386.0,0.0,0.05,-42.7,-53.74
2333,002312,川发龙蟒,8.58,1.42,0.12,229193.0,194536987.2,2.48,8.6,8.39,8.45,8.46,1.13,1.22,44.67,1.7,16196545314.0,16163168719.0,0.0,0.94,-19.89,-20.85
2334,300464,星徽股份,6.41,1.42,0.09,68703.0,43722458.0,2.69,6.42,6.25,6.25,6.32,0.54,1.93,232.53,16.91,2995390840.0,2276464547.0,0.16,0.31,-23.96,1.1
2335,688517,金冠电气,15.69,1.42,0.22,32893.0,51437461.0,2.0,15.79,15.48,15.54,15.47,1.31,2.41,37.51,2.89,2143460857.0,2143460857.0,0.0,-0.13,-32.28,3.84
2336,603669,灵康药业,5.72,1.42,0.08,213701.0,122162850.0,4.61,5.84,5.58,5.75,5.64,0.81,3.0,344.61,7.24,4074534264.0,4074534264.0,0.18,0.35,27.96,25.44
